wl_nm,intensity,n_BK7,n_SF2,n_SF5,n_BAF10,n_SF10,n_BAK4,n_SF57
569.1,0.2450418621,1.517606957934444,1.6495763347925063,1.6747872845978613,1.6714407332024008,1.730778112662671,1.5698411890735509,1.8501276311570012
569.2,0.2453991026,1.5176023866959398,1.649565623632619,1.6747758141546452,1.671432852727338,1.730763846267192,1.569835480448708,1.8501078369345976
569.4,0.2470423877,1.5175932510689776,1.6495442067833848,1.674752873268213,1.6714171083679152,1.7307353372809011,1.5698240790151436,1.850068290909803
569.5,0.2477568537,1.5175886866805195,1.6495335010940375,1.6747414028249972,1.6714092442609088,1.7307210946689957,1.5698183861718822,1.850048539324203
569.7,0.2468518615,1.51757956475365,1.6495120951858826,1.674718461938565,1.6713935316356898,1.7306926331549308,1.5698070161460538,1.850009079548576
569.9,0.2514483035,1.517570451960176,1.6494906965717808,1.6746955210521333,1.6713778390533758,1.7306642031835506,1.5697956668860191,1.8499696783563495
570.0,0.2542585433,1.5175658989884626,1.64948,1.6746840506089171,1.67137,1.73065,1.56979,1.84995
570.2,0.2531391978,1.5175567998950807,1.6494586123269777,1.674661109722485,1.6713543357039156,1.7306216172078006,1.5697786814472696,1.8499106878334421
570.3,0.2513530254,1.5175522537734134,1.6494479212257362,1.6746496392792691,1.671346510089673,1.730607437610171,1.5697730294952972,1.849891053586396
570.5,0.2588787973,1.5175431683801248,1.649426544493794,1.674626698392837,1.6713308709661197,1.7305791020467016,1.5697617394700076,1.849851827524126
570.7,0.2545205057,1.5175340921202314,1.6494051750559042,1.674603757506405,1.6713152466989147,1.7305507980387482,1.569750466922748,1.8498126563834256
570.8,0.256354332,1.5175295574153078,1.649394493072229,1.674592287063189,1.6713074396551078,1.730536657885514,1.5697448368183131,1.8497930907883426
571.0,0.2560447156,1.517520494855507,1.6493731345754192,1.674569346176757,1.671291834784416,1.7305084013153789,1.569733588177703,1.849753998308065
571.1,0.2568782866,1.51751596700063,1.6493624580622843,1.674557875733541,1.6712840365724635,1.7304942849124172,1.5697279693334742,1.8497344709266133
571.3,0.2577832639,1.5175069181409222,1.649341110506554,1.674534934847109,1.6712684476326742,1.7304660759055537,1.5697167418270377,1.849695452640439
571.5,0.2624511421,1.5174978784146098,1.6493197702448767,1.674511993960677,1.6712528673881473,1.730437898677233,1.569705526869786,1.8496564813357113
571.6,0.2603077292,1.5174933619764768,1.649309102849308,1.674500523517461,1.6712450800452716,1.73042382199745,1.5696999237120386,1.8496370126810675
571.8,0.2581166923,1.5174843359502568,1.64928777352871,1.674477582631029,1.6712295099556287,1.7303956925414892,1.569688725268169,1.8495981081265767
572.0,0.2611413002,1.5174753190574315,1.649266451502165,1.674454641744597,1.6712139447105687,1.7303675950034636,1.5696775362929567,1.8495592455909562
572.1,0.2638801038,1.517470814036043,1.6492557932241634,1.674443171301381,1.6712061634234223,1.7303535582211005,1.5696719449710308,1.8495398294598993
572.3,0.259426564,1.5174618108433109,1.6492344821386982,1.674420230414949,1.6711906025572285,1.7303255086645224,1.569660767888408,1.8495010262306497
572.4,0.2632132471,1.5174573126719682,1.6492238293312351,1.674408759971733,1.6711828225931122,1.7303114959042465,1.5696551818196582,1.8494816386361987
572.6,0.2664521933,1.5174483231584062,1.6492025331926254,1.674385819085301,1.6711672626401726,1.7302834944545684,1.5696440138571497,1.8494428902470015
572.8,0.2606173456,1.5174393426317807,1.6491812723884964,1.6743628781988689,1.6711517013707298,1.7302555251458531,1.5696328504344534,1.8494041759365496
572.9,0.2612603605,1.517434855730723,1.649170656739028,1.674351407755653,1.6711439197609852,1.7302415525617814,1.5696272700404692,1.849384830940532
573.1,0.257807076,1.517425888653117,1.6491494549452832,1.6743284668692209,1.671128353628779,1.7302136315690548,1.5696161111170956,1.849346164026267
573.2,0.2599981427,1.5174214084765691,1.6491388688010076,1.674316996426005,1.6711205687212496,1.7301996831743398,1.5696105322796536,1.8493268416117619
573.4,0.2683098316,1.5174124548479837,1.6491177260176475,1.674294055539573,1.6711049942606686,1.7301718106230548,1.569599375083127,1.8492882176273635
573.6,0.2568306327,1.5174035101854109,1.6490966225745445,1.6742711146531408,1.671089412322499,1.7301439704357604,1.5695882174975684,1.8492496197815884
573.7,0.2615699768,1.5173990412163798,1.649086085605589,1.674259644209925,1.6710816180679828,1.7301300624960332,1.5695826381738354,1.8492303300403616
573.9,0.2639991641,1.5173901100028275,1.64906504117287,1.6742367033234928,1.6710660220254194,1.730102270959268,1.569571477694331,1.8491917676805867
574.0,0.2669523358,1.5173856477583063,1.649054533709107,1.6742252328802767,1.6710582198523043,1.7300883873761683,1.569565896230507,1.8491724945657813
574.2,0.2719774246,1.517376729993774,1.6490335482867726,1.6742022919938448,1.6710426062397374,1.7300606446153863,1.5695547300845831,1.8491339632256882
574.4,0.2705246806,1.517367821195255,1.649012602204695,1.6741793511074128,1.6710269789884953,1.730032934441621,1.5695435586207818,1.8490954500840946
